"","Common.Name","Genus","Species","family"
"1","Lake sturgeon","Acipenser","Acipenser fulvescens","Acipenseridae"
"2","Bowfin","Amia","Amia calva","Amiidae"
"3","Alewife","Alosa","Alosa pseudoharengus","Clupeidae"
"4","Gizzard Shad ","Dorosoma","Dorosoma cepedianum","Clupeidae"
"5","Chubs or deepwater ciscoes","Coregonus","Coregonus spp.","Salmonidae"
"6","Lake herring or cisco","Coregonus","Coregonus artedi","Salmonidae"
"7","Lake whitefish","Coregonus","Coregonus clupeaformis","Salmonidae"
"8","Round whitefish or Menominee whitefish","Prosopium","Prosopium cylindraceum","Salmonidae"
"9","Lake trout","Salvelinus","Salvelinus namaycush","Salmonidae"
"10","Pacific salmon","Oncorhynchus","Oncorhynchus spp.","Salmonidae"
"11","Coho salmon","Oncorhynchus","Oncorhynchus kisutch","Salmonidae"
"12","Rainbow Smelt","Osmerus","Osmerus mordax","Osmeridae"
"13","Northern pike","Esox","Esox lucius","Esocidae"
"14","Goldfish","Carassius","Carassius auratus","Cyprinidae"
"15","Carp","Cyprinus","Cyprinus carpio","Cyprinidae"
"16","Minnows","Cyprinidae","Cyprinidae","Cyprinidae"
"17","Suckers_M","Moxostoma","Moxostoma spp.","Catostomidae"
"18","Suckers_C","Catostomus","Catostomus spp.","Catostomidae"
"19","Buffalo","Ictiobus","Ictiobus  spp.","Catostomidae"
"20","Quillback","Carpiodes","Carpiodes cyprinus","Catostomidae"
"21","Bullheads","Ictalurus","Ictalurus spp.","Ictaluridae"
"22","Channel catfish","Ictalurus","Ictalurus punctatus","Ictaluridae"
"23","American eel","Anguilla","Anguilla rostrata","Anguillidae"
"24","Burbot","Lota","Lota lota","Gadidae"
"25","White perch","Morone","Morone americana","Moronidae"
"26","White bass","Morone","Morone chrysops","Moronidae"
"27","Rock bass","Ambloplites","Ambloplites rupestris","Centrarchidae"
"28","Sunfish","Lepomis","Lepomis spp.","Centrarchidae"
"29","Smallmouth bass","Micropterus","Micropterus dolomieu","Centrarchidae"
"30","Yellow perch","Perca","Perca flavescens","Percidae"
"31","Sauger","Sander","Sander canadensis","Percidae"
"32","Walleye","Sander","Sander vitreus","Percidae"
"33","Blue pike","Sander","Sander vitreus glaucum","Percidae"
"34","Sheepshead or freshwater drum","Aplodinotus","Aplodinotus grunniens","Sciaenidae"
