"","sci_name"
"1","Lamna nasus"
"2","Mycteroperca olfax"
"3","Pagrus pagrus"
"4","Thunnus albacares"
"5","Xiphias gladius"
"6","Isurus oxyrinchus"
"7","Mustelus antarcticus"
"8","Prionace glauca"
"9","Rhizoprionodon terraenovae"
"10","Cephalopholis boenak"
"11","Deania calceus"
"12","Centrophorus squamosus"
"13","Beringraja binoculata"
"14","Epinephelus coioides"
"15","Aetomylaeus bovinus"
"16","Somniosus microcephalus"
"17","Etmopterus princeps"
"18","Hydrolagus affinis"
"19","Psammobatis scobina"
"20","Bathyraja scaphiops"
"21","Mycteroperca bonaci"
"22","Cephalopholis miniata"
"23","Cephalopholis sonnerati"
"24","Epinephelus sexfasciatus"
"25","Epinephelus merra"
"26","Epinephelus fasciatus"
"27","Mycteroperca acutirostris"
"28","Lethrinus enigmaticus"
"29","Coryphaena hippurus"
"30","Cynoscion acoupa"
"31","Thalassoma lucasanum"
"32","Paralichthys dentatus"
"33","Siganus rivulatus"
"34","Sarda sarda"
"35","Sardinella albella"
"36","Dicologlossa cuneata"
"37","Galeus melastomus"
"38","Centroscyllium fabricii"
"39","Lithognathus mormyrus"
"40","Pagrus major"
"41","Stenotomus chrysops"
"42","Sarpa salpa"
"43","Pagrus auriga"
"44","Diplodus bellottii"
"45","Dentex macrophthalmus"
"46","Diplodus annularis"
"47","Diplodus vulgaris"
"48","Diplodus puntazzo"
"49","Spicara smaris"
"50","Sarda orientalis"
"51","Rastrelliger kanagurta"
"52","Scomberomorus cavalla"
"53","Gasterochisma melampus"
"54","Auxis thazard"
"55","Euthynnus alletteratus"
"56","Auxis rochei"
"57","Scomberomorus niphonius"
"58","Scomber colias"
"59","Johnius belangerii"
"60","Ctenochaetus striatus"
"61","Zebrasoma desjardinii"
"62","Lutjanus peru"
"63","Sardinops sagax"
"64","Malacoctenus zonifer"
"65","Dialommus macrocephalus"
"66","Acanthemblemaria hancocki"
"67","Engraulis mordax"
"68","Trachurus murphyi"
"69","Lipophrys trigloides"
"70","Coryphoblennius galerita"
"71","Hemigymnus fasciatus"
"72","Notolabrus celidotus"
"73","Coris formosa"
"74","Epibulus insidiator"
"75","Pseudocaranx dentex"
"76","Rhomboplites aurorubens"
"77","Lutjanus buccanella"
"78","Syacium gunteri"
"79","Selar crumenophthalmus"
"80","Lagocephalus lagocephalus"
"81","Odax pullus"
"82","Chlorurus sordidus"
"83","Scarus niger"
"84","Balistes capriscus"
"85","Albula vulpes"
"86","Ocyurus chrysurus"
"87","Chlorophthalmus agassizi"
"88","Parona signata"
"89","Brevoortia aurea"
"90","Paralichthys patagonicus"
"91","Seriola lalandi"
"92","Cynoscion arenarius"
"93","Sphyraena sphyraena"
"94","Sardinella aurita"
"95","Sardinella maderensis"
"96","Caranx rhonchus"
"97","Seriola dumerili"
"98","Trachurus trachurus"
"99","Sciaena umbra"
"100","Umbrina cirrosa"
"101","Bothus podas"
"102","Paralichthys lethostigma"
"103","Sillago sihama"
"104","Gymnura marmorata"
"105","Solea senegalensis"
"106","Anchoa hepsetus"
"107","Synodus foetens"
"108","Opisthonema oglinum"
"109","Trachinotus carolinus"
"110","Lethrinus mahsena"
"111","Lethrinus microdon"
"112","Bothus pantherinus"
"113","Reinhardtius hippoglossoides"
"114","Carangoides orthogrammus"
"115","Carangoides plagiotaenia"
"116","Seriola quinqueradiata"
"117","Seriolina nigrofasciata"
"118","Trachinotus blochii"
"119","Trachurus trecae"
"120","Nemipterus bipunctatus"
"121","Siganus canaliculatus"
"122","Sphyraena jello"
"123","Pseudorhombus elevatus"
"124","Cynoscion nothus"
"125","Paralticus amboinensis"
"126","Larimichthys crocea"
"127","Larimichthys polyactis"
"128","Pentaprion longimanus"
"129","Corythoichthys intestinalis"
"130","Equulites elongatus"
"131","Siganus argenteus"
"132","Cantherhines pardalis"
"133","Ilisha elongata"
"134","Thryssa purava"
"135","Taeniura lymma"
"136","Gymnoscopelus braueri"
"137","Gymnoscopelus nicholsi"
"138","Diaphus watasei"
"139","Benthosema fibulatum"
"140","Electrona antarctica"
"141","Glyptophidium argenteum"
"142","Mancopsetta maculata"
"143","Carcharhinus porosus"
"144","Atheresthes stomias"
"145","Glyptocephalus zachirus"
"146","Hippoglossoides elassodon"
"147","Lepidopsetta bilineata"
"148","Microstomus pacificus"
"149","Psettichthys melanostictus"
"150","Stolephorus waitei"
"151","Stolephorus tri"
"152","Haemulon steindachneri"
"153","Scolopsis taenioptera"
"154","Psammobatis normani"
